소환사명,소속,경기수,승,패,승률,킬,데스,어시스트,KDA,킬관여
Humanoid,Fnatic,62,30,32,48.40%,207,192,319,2.7,60.70%
MaRin,Afreeca Freecs,36,29,7,80.60%,159,104,200,3.5,59%
Crown,Gen.G e-sports,42,29,13,69%,129,86,198,3.8,65.30%
Missing,JDG Intel Esports Club,41,29,12,70.70%,29,97,428,4.7,74.20%
Armut,MAD Lions,64,29,35,45.30%,175,190,367,2.9,61%
Viper,Hanwha Life Esports,46,28,18,60.90%,176,79,237,5.2,68.40%
Blaber,Cloud 9,67,28,39,41.80%,201,192,412,3.2,72.30%
Doran,Gen.G eSports,49,28,21,57.10%,101,133,247,2.6,55.10%
Kuro,kt rolster,47,27,20,57.40%,173,93,280,4.9,67%
Mystic,Afreeca Freecs,41,27,14,65.90%,153,92,213,4,71.90%
Condi,Team WE,41,27,14,65.90%,84,83,266,4.2,70.30%
Cryin,Royal Never Give Up,38,27,11,71.10%,126,100,316,4.4,70.30%
huhi,Golden Guardians,51,26,25,51%,94,144,382,3.3,70.40%
Blank,KT rolster,41,26,15,63.40%,114,83,275,4.7,71.30%
ON,Bilibili Gaming,44,26,18,59.10%,44,106,463,4.8,73.20%
Elk,Bilibili Gaming,44,26,18,59.10%,222,105,259,4.6,69.80%
XUN,Bilibili Gaming,44,26,18,59.10%,146,115,311,4,72.60%
Bwipo,Fnatic,53,26,27,49.10%,132,181,298,2.4,60.50%
Kaiser,MAD Lions,54,26,28,48.10%,48,180,467,2.9,64.70%
River,Golden Guardians,50,26,24,52%,141,125,349,3.9,69.30%
Svenskeren,Cloud 9,50,25,25,50%,129,162,295,2.6,69.20%
BrokenBlade,G2 Esports,51,25,26,49%,150,129,244,3.1,56.70%
Licorice,Golden Guardians,45,25,20,55.60%,101,108,226,3,56%
imp,JD Gaming,36,24,12,66.70%,203,84,216,5,67.10%
PoohManDu,SK Telecom T1,27,24,3,88.90%,34,73,279,4.3,62.40%
Piglet,Team Liquid,27,24,3,88.90%,169,35,162,9.5,65.20%
Ziv,ahq e-Sports Club,55,24,31,43.60%,134,152,314,2.9,60.60%
YellOwStaR,Team SoloMid,52,24,28,46.20%,60,136,457,3.8,63.80%
Lehends,Gen.G eSports,41,24,17,58.50%,26,90,361,4.3,71.80%
Fudge,Cloud 9,62,24,38,38.70%,175,167,276,2.7,55.40%
Score,LCK 올스타,33,23,10,69.70%,76,59,248,5.5,72.20%
Bjergsen,Team SoloMid,64,23,41,35.90%,209,163,314,3.2,69.60%
Elyoya,MAD Lions,55,23,32,41.80%,184,148,362,3.7,70.50%
Stixxay,Golden Guardians,39,22,17,56.40%,211,94,176,4.1,68.20%
Evi,DetonatioN FocusMe,65,22,43,33.80%,165,205,283,2.2,58.30%
Xmithie,Team Liquid,50,22,28,44%,83,129,316,3.1,76.20%
Nomanz,Unicorns Of Love,54,22,32,40.70%,183,157,225,2.6,61.40%
BOSS,Unicorns Of Love,54,22,32,40.70%,148,172,209,2.1,56.90%
AHaHaCiK,Unicorns Of Love,54,22,32,40.70%,126,183,278,2.2,64.10%
Tian,Top Esports,35,22,13,62.90%,102,89,259,4.1,69.10%
Pyosik,KT Rolster,37,22,15,59.50%,105,67,220,4.9,69.20%
Inspired,Evil Geniuses,51,22,29,43.10%,166,119,307,4,69.40%
MadLife,CJ Entus,26,21,5,80.80%,28,59,278,5.2,69.40%
xPeke,Origen,43,21,22,48.80%,180,132,229,3.1,59.60%
Doinb,FunPlus Phoenix,32,21,11,65.60%,112,72,222,4.6,68.50%
Steal,DetonatioN FM,63,21,42,33.30%,146,201,373,2.6,72%
Zeitnot,BAUSuperMassive eSports,47,21,26,44.70%,189,120,207,3.3,69.50%
Ben,Afreeca Freecs,34,21,13,61.80%,21,71,259,3.9,75.90%
Unified,PSG Talon,51,21,30,41.20%,138,103,224,3.5,62.20%
Hans Sama,G2 Esports,50,21,29,42%,204,121,228,3.6,67.50%
Tarzan,LNG Esports,36,21,15,58.30%,94,71,226,4.5,71.10%
Yutapon,DetonatioN FM,63,21,42,33.30%,232,151,259,3.3,61.70%
Carzzy,MAD Lions,53,21,32,39.60%,216,156,258,3,61.10%
Dandy,Samsung White,26,20,6,76.90%,123,59,263,6.5,75%
Zero,Team WE,31,20,11,64.50%,19,80,347,4.6,72.40%
Aphromoo,100 Thieves,43,20,23,46.50%,33,144,394,3,72.90%
Mithy,Cloud 9,47,20,27,42.60%,22,127,341,2.9,70.10%
MMD,Flash Wolves,47,20,27,42.60%,93,98,212,3.1,55.50%
Teddy,DRX,32,20,12,62.50%,125,42,173,7.1,61.80%
Wako,PSG Talon,36,20,16,55.60%,141,97,229,3.8,66.90%
BeBe,J team,38,19,19,50%,139,90,210,3.9,65%
Diamondprox,Gambit Esports,43,19,24,44.20%,84,126,273,2.8,72.20%
Gogoing,OMG,33,19,14,57.60%,102,84,240,4.1,57.70%
LoveLing,OMG,33,19,14,57.60%,89,91,272,4,63.20%
San,OMG,33,19,14,57.60%,169,67,194,5.4,66.90%
WildTurtle,FlyQuest,51,19,32,37.30%,175,148,244,2.8,68.50%
Koro1,Royal Never Give Up,35,19,16,54.30%,144,112,279,3.8,66.10%
Zeka,한화생명e스포츠,26,19,7,73.10%,121,37,110,6.2,61.80%
Slay,EVOS Esports,44,19,25,43.20%,129,134,227,2.7,59.10%
SaNTaS,Unicorns of Love,48,19,29,39.60%,40,168,299,2,59.50%
Kingen,한화생명e스포츠,26,19,7,73.10%,71,58,136,3.6,59%
Lwx,FunPlus Phoenix,29,19,10,65.50%,146,66,150,4.5,63.70%
Light,LNG Esports,30,19,11,63.30%,120,38,138,6.8,65.50%
JieJie,Edward Gaming,32,19,13,59.40%,66,81,241,3.8,75.10%
Flandre,EDward Gaming,32,19,13,59.40%,79,73,136,2.9,53%
inSec,Winners,26,18,8,69.20%,80,77,174,3.3,59.30%
Xmithie,CLG,37,18,19,48.60%,79,104,225,2.9,67%
westdoor,ahq e-Sports Club,39,18,21,46.20%,146,110,210,3.2,65%
jojopyun,Evil Geniuses,37,18,19,48.60%,123,106,210,3.1,63%
Stark,EVOS Esports,39,18,21,46.20%,84,116,219,2.6,57%
GimGoon,FunPlus Phoenix,22,17,5,77.30%,60,46,141,4.4,52.30%
EdWard,Unicorns Of Love,42,17,25,40.50%,30,142,299,2.3,65.60%
Odoamne,Rogue,37,17,20,45.90%,90,103,165,2.5,52.40%
Stomaged,BAUSuperMassive eSports,45,17,28,37.80%,79,158,246,2.1,67.70%
Cuzz,KWANGDONG FREECS,27,17,10,63%,52,61,198,4.1,67%
Rascal,DRX,26,17,9,65.40%,75,75,128,2.7,55.50%
Albis,ahq e-Sports Club,36,16,20,44.40%,29,87,295,3.7,63.30%
Nuclear,DAMWON GAMING,21,16,5,76.20%,101,36,125,6.3,71.40%
Hjarnan,G2 Esports,30,16,14,53.30%,107,44,138,5.6,64.60%
Kramer,LGD Gaming,28,16,12,57.10%,87,43,144,5.4,65.70%
fabFabulous,BAUSuperMassive eSports,37,16,21,43.20%,83,108,173,2.4,58.40%
Vizicsacsi,PEACE,32,16,16,50%,81,98,160,2.5,48.40%
Moojin,ESports Connected,28,16,12,57.10%,66,49,157,4.6,70%
Zeyzal,Cloud 9,28,16,12,57.10%,20,81,226,3,69.30%
Cool,OMG,24,15,9,62.50%,119,62,153,4.4,68%
Amazing,Origen,29,15,14,51.70%,66,97,176,2.5,66.30%
SnowFlower,Nongshim RedForce,31,15,16,48.40%,31,98,251,2.9,67.10%
Smoothie,Cloud9,27,15,12,55.60%,8,50,210,4.4,72.60%
Optimus,GIGABYTE Marines,35,15,20,42.90%,138,118,187,2.8,62.50%
Archie,GIGABYTE Marines,32,15,17,46.90%,29,117,259,2.5,60.80%
Oddie,Isurus Gaming,44,15,29,34.10%,88,132,256,2.6,72%
Seiya,Isurus Gaming,38,15,23,39.50%,113,71,180,4.1,59.70%
